,index,latitude,locationid,longitude,year,costs,trainees_total,trainees_pass
5252,4586,31.45194444,5R1,88.19444444,2016,2235,64610,224
5253,3621,30.42777778,5R4,87.70111111,2000,6377,52326,130
5254,6621,30.42777778,5R4,87.70111111,2001,372,34755,97
5255,7621,30.42777778,5R4,87.70111111,2002,6849,41580,268
5256,8621,30.42777778,5R4,87.70111111,2003,1500,12006,50
5257,14621,30.42777778,5R4,87.70111111,2004,1611,45342,126
5258,2621,30.42777778,5R4,87.70111111,2005,1998,82404,280
5259,11621,30.42777778,5R4,87.70111111,2006,8883,53805,71
5260,12621,30.42777778,5R4,87.70111111,2007,34,25650,459
5261,5621,30.42777778,5R4,87.70111111,2008,4855,12939,146
5262,621,30.42777778,5R4,87.70111111,2009,616,22671,97
5263,16621,30.42777778,5R4,87.70111111,2010,3640,41256,441
5264,10621,30.42777778,5R4,87.70111111,2011,1102,47424,41
5265,1621,30.42777778,5R4,87.70111111,2012,245,11254,252
5266,13621,30.42777778,5R4,87.70111111,2013,666,20128,230
5267,9621,30.42777778,5R4,87.70111111,2014,1377,13148,720
5268,15621,30.42777778,5R4,87.70111111,2015,1006,54199,252
5269,4621,30.42777778,5R4,87.70111111,2016,585,37240,200
5270,12569,30.45472222,5R7,88.21055556,2000,2926,62046,420
5271,14569,30.45472222,5R7,88.21055556,2001,34,26600,55
5272,7569,30.45472222,5R7,88.21055556,2002,954,26873,136
5273,5569,30.45472222,5R7,88.21055556,2003,1450,36105,4
5274,8569,30.45472222,5R7,88.21055556,2004,8091,34551,159
5275,569,30.45472222,5R7,88.21055556,2005,682,30660,10
5276,9569,30.45472222,5R7,88.21055556,2006,2403,37995,95
5277,6569,30.45472222,5R7,88.21055556,2007,1342,26910,720
5278,1569,30.45472222,5R7,88.21055556,2008,50,7410,92
5279,11569,30.45472222,5R7,88.21055556,2009,1892,29106,12
5280,13569,30.45472222,5R7,88.21055556,2010,9950,44172,105
5281,10569,30.45472222,5R7,88.21055556,2011,418,42408,81
5282,4569,30.45472222,5R7,88.21055556,2012,4470,26826,208
5283,15569,30.45472222,5R7,88.21055556,2013,537,9520,110
5284,3569,30.45472222,5R7,88.21055556,2014,2820,66272,27
5285,16569,30.45472222,5R7,88.21055556,2015,1998,49302,198
5286,2569,30.45472222,5R7,88.21055556,2016,4180,34230,712
5287,12208,63.54166667,5Z5,150.9938889,2000,5901,59373,10
5288,10208,63.54166667,5Z5,150.9938889,2001,64,31115,84
5289,16208,63.54166667,5Z5,150.9938889,2002,4734,72380,212
5290,14208,63.54166667,5Z5,150.9938889,2003,334,46458,106
5291,15208,63.54166667,5Z5,150.9938889,2004,819,31086,207
5292,7208,63.54166667,5Z5,150.9938889,2005,356,41664,880
5293,11208,63.54166667,5Z5,150.9938889,2006,6588,46070,51
5294,1208,63.54166667,5Z5,150.9938889,2007,1806,38385,306
5295,4208,63.54166667,5Z5,150.9938889,2008,2200,3439,170
5296,6208,63.54166667,5Z5,150.9938889,2009,780,21087,65
5297,9208,63.54166667,5Z5,150.9938889,2010,6590,38502,245
5298,2208,63.54166667,5Z5,150.9938889,2011,446,50920,9
5299,5208,63.54166667,5Z5,150.9938889,2012,4130,18462,180
5300,208,63.54166667,5Z5,150.9938889,2013,243,14314,520
5301,3208,63.54166667,5Z5,150.9938889,2014,1164,58444,720
5302,13208,63.54166667,5Z5,150.9938889,2015,206,73206,621
5303,8208,63.54166667,5Z5,150.9938889,2016,3515,19740,616
5304,6213,59.46888889,5Z7,151.5733333,2000,1645,78489,315
5305,2213,59.46888889,5Z7,151.5733333,2001,1848,15645,83
5306,16213,59.46888889,5Z7,151.5733333,2002,5544,16555,208
5307,14213,59.46888889,5Z7,151.5733333,2003,448,34191,92
5308,5213,59.46888889,5Z7,151.5733333,2004,1449,38115,261
5309,12213,59.46888889,5Z7,151.5733333,2005,478,65604,110
5310,7213,59.46888889,5Z7,151.5733333,2006,4167,57460,31
5311,1213,59.46888889,5Z7,151.5733333,2007,150,31725,729
5312,9213,59.46888889,5Z7,151.5733333,2008,4805,15922,188
5313,8213,59.46888889,5Z7,151.5733333,2009,3308,31779,98
5314,4213,59.46888889,5Z7,151.5733333,2010,5030,46440,476
5315,213,59.46888889,5Z7,151.5733333,2011,1762,13908,96
5316,10213,59.46888889,5Z7,151.5733333,2012,2315,14552,160
5317,3213,59.46888889,5Z7,151.5733333,2013,199,20774,280
5318,13213,59.46888889,5Z7,151.5733333,2014,2214,57988,207
5319,15213,59.46888889,5Z7,151.5733333,2015,1860,22991,882
5320,11213,59.46888889,5Z7,151.5733333,2016,3395,66640,112
5321,13576,31.73277778,60A,85.80361111,2000,553,76545,210
5322,2576,31.73277778,60A,85.80361111,2001,182,18060,78
5323,11576,31.73277778,60A,85.80361111,2002,684,9163,256
5324,15576,31.73277778,60A,85.80361111,2003,1254,28536,54
5325,4576,31.73277778,60A,85.80361111,2004,8046,45936,120
5326,12576,31.73277778,60A,85.80361111,2005,1918,42924,500
5327,8576,31.73277778,60A,85.80361111,2006,6291,76330,8
5328,9576,31.73277778,60A,85.80361111,2007,1932,11385,486
5329,14576,31.73277778,60A,85.80361111,2008,2610,16948,144
5330,1576,31.73277778,60A,85.80361111,2009,1696,39105,1
5331,5576,31.73277778,60A,85.80361111,2010,800,18144,63
5332,10576,31.73277778,60A,85.80361111,2011,198,68476,63
5333,7576,31.73277778,60A,85.80361111,2012,445,18462,40
5334,576,31.73277778,60A,85.80361111,2013,941,6630,450
5335,6576,31.73277778,60A,85.80361111,2014,1173,60724,819
5336,16576,31.73277778,60A,85.80361111,2015,814,19671,468
5337,3576,31.73277778,60A,85.80361111,2016,4945,41440,592
5338,13578,31.97972222,61A,87.33916667,2000,3661,22842,140
5339,16578,31.97972222,61A,87.33916667,2001,530,27755,64
5340,2578,31.97972222,61A,87.33916667,2002,8280,64218,44
5341,8578,31.97972222,61A,87.33916667,2003,1682,42195,18
5342,15578,31.97972222,61A,87.33916667,2004,576,76527,174
5343,11578,31.97972222,61A,87.33916667,2005,1862,16800,210
5344,7578,31.97972222,61A,87.33916667,2006,1494,61115,59
5345,10578,31.97972222,61A,87.33916667,2007,1056,32895,54
5346,14578,31.97972222,61A,87.33916667,2008,1335,11495,134
5347,1578,31.97972222,61A,87.33916667,2009,1752,43560,24
5348,4578,31.97972222,61A,87.33916667,2010,3430,7506,623
5349,12578,31.97972222,61A,87.33916667,2011,690,74480,15
5350,6578,31.97972222,61A,87.33916667,2012,1765,33694,396
5351,5578,31.97972222,61A,87.33916667,2013,201,22066,410
5352,9578,31.97972222,61A,87.33916667,2014,2037,14820,603
5353,578,31.97972222,61A,87.33916667,2015,1638,41500,351
5354,3578,31.97972222,61A,87.33916667,2016,855,14560,424
5355,4787,36.30833333,61AR,92.53083333,2000,4991,60183,145
5356,10787,36.30833333,61AR,92.53083333,2001,106,14735,40
5357,787,36.30833333,61AR,92.53083333,2002,6300,38577,396
5358,12787,36.30833333,61AR,92.53083333,2003,646,11223,24
5359,1787,36.30833333,61AR,92.53083333,2004,2970,17424,267
5360,16787,36.30833333,61AR,92.53083333,2005,592,27384,870
5361,2787,36.30833333,61AR,92.53083333,2006,5067,24310,36
5362,5787,36.30833333,61AR,92.53083333,2007,1064,14490,9
5363,15787,36.30833333,61AR,92.53083333,2008,4030,2451,60
5364,8787,36.30833333,61AR,92.53083333,2009,1540,78210,49
5365,9787,36.30833333,61AR,92.53083333,2010,4540,47898,546
5366,6787,36.30833333,61AR,92.53083333,2011,1456,71288,18
5367,11787,36.30833333,61AR,92.53083333,2012,3650,22712,244
5368,13787,36.30833333,61AR,92.53083333,2013,690,15606,550
5369,3787,36.30833333,61AR,92.53083333,2014,105,7904,810
5370,14787,36.30833333,61AR,92.53083333,2015,530,21580,540
5371,7787,36.30833333,61AR,92.53083333,2016,55,50400,328
5372,2676,30.68361111,62AL,88.37194444,2000,6230,21546,295
5373,10676,30.68361111,62AL,88.37194444,2001,906,18025,75
5374,8676,30.68361111,62AL,88.37194444,2002,558,76692,24
5375,11676,30.68361111,62AL,88.37194444,2003,1328,23838,18
5376,15676,30.68361111,62AL,88.37194444,2004,2187,78606,126
5377,4676,30.68361111,62AL,88.37194444,2005,1290,9660,100
5378,1676,30.68361111,62AL,88.37194444,2006,8172,34935,40
5379,14676,30.68361111,62AL,88.37194444,2007,1438,27270,711
5380,9676,30.68361111,62AL,88.37194444,2008,2205,17005,46
5381,7676,30.68361111,62AL,88.37194444,2009,880,67518,72
5382,3676,30.68361111,62AL,88.37194444,2010,8270,15444,294
5383,6676,30.68361111,62AL,88.37194444,2011,926,39140,94
5384,676,30.68361111,62AL,88.37194444,2012,1235,23052,32
5385,13676,30.68361111,62AL,88.37194444,2013,444,22474,680
5386,12676,30.68361111,62AL,88.37194444,2014,1329,45904,36
5387,16676,30.68361111,62AL,88.37194444,2015,88,34030,18
5388,5676,30.68361111,62AL,88.37194444,2016,1610,34860,544
5389,4047,61.58444444,63AK,149.9380556,2000,3857,61236,230
5390,3047,61.58444444,63AK,149.9380556,2001,1192,19215,75
5391,2047,61.58444444,63AK,149.9380556,2002,153,67067,228
5392,12047,61.58444444,63AK,149.9380556,2003,144,85869,6
5393,6047,61.58444444,63AK,149.9380556,2004,7731,25047,153
5394,5047,61.58444444,63AK,149.9380556,2005,668,31836,890
5395,9047,61.58444444,63AK,149.9380556,2006,8631,37910,34
5396,10047,61.58444444,63AK,149.9380556,2007,38,40815,171
5397,7047,61.58444444,63AK,149.9380556,2008,4400,11362,184
5398,14047,61.58444444,63AK,149.9380556,2009,3320,91674,47
5399,47,61.58444444,63AK,149.9380556,2010,5330,10746,119
5400,16047,61.58444444,63AK,149.9380556,2011,18,36100,63
5401,8047,61.58444444,63AK,149.9380556,2012,3650,13498,116
5402,15047,61.58444444,63AK,149.9380556,2013,397,22372,550
5403,13047,61.58444444,63AK,149.9380556,2014,1680,19304,585
5404,1047,61.58444444,63AK,149.9380556,2015,278,24070,243
5405,11047,61.58444444,63AK,149.9380556,2016,3070,65940,592
5406,13802,35.25138889,63AR,90.45972222,2000,3087,19197,395
5407,3802,35.25138889,63AR,90.45972222,2001,428,12145,98
5408,7802,35.25138889,63AR,90.45972222,2002,8370,27643,292
5409,5802,35.25138889,63AR,90.45972222,2003,1026,43239,6
5410,12802,35.25138889,63AR,90.45972222,2004,2484,19305,90
5411,15802,35.25138889,63AR,90.45972222,2005,1868,58296,290
5412,1802,35.25138889,63AR,90.45972222,2006,7425,50320,66
5413,14802,35.25138889,63AR,90.45972222,2007,1018,27045,18
5414,10802,35.25138889,63AR,90.45972222,2008,2565,6194,76
5415,8802,35.25138889,63AR,90.45972222,2009,2780,39303,19
5416,2802,35.25138889,63AR,90.45972222,2010,1650,11232,511
5417,9802,35.25138889,63AR,90.45972222,2011,450,57228,93
5418,16802,35.25138889,63AR,90.45972222,2012,2220,23800,316
5419,4802,35.25138889,63AR,90.45972222,2013,754,4012,410
5420,802,35.25138889,63AR,90.45972222,2014,1602,45296,369
5421,6802,35.25138889,63AR,90.45972222,2015,1280,52456,360
5422,11802,35.25138889,63AR,90.45972222,2016,1600,10990,800
5423,6348,61.44,64AK,150.0261111,2000,4921,14904,55
5424,3348,61.44,64AK,150.0261111,2001,36,12775,99
5425,9348,61.44,64AK,150.0261111,2002,711,75922,120
5426,13348,61.44,64AK,150.0261111,2003,958,40803,154
5427,12348,61.44,64AK,150.0261111,2004,1683,57519,93
5428,1348,61.44,64AK,150.0261111,2005,1180,14700,710
5429,11348,61.44,64AK,150.0261111,2006,8037,51850,61
5430,5348,61.44,64AK,150.0261111,2007,1902,37260,234
5431,14348,61.44,64AK,150.0261111,2008,4510,5833,98
5432,16348,61.44,64AK,150.0261111,2009,520,26037,32
5433,15348,61.44,64AK,150.0261111,2010,1270,44928,294
5434,10348,61.44,64AK,150.0261111,2011,1046,57912,99
5435,348,61.44,64AK,150.0261111,2012,1155,10200,68
5436,2348,61.44,64AK,150.0261111,2013,37,4454,610
5437,8348,61.44,64AK,150.0261111,2014,1542,37772,522
5438,4348,61.44,64AK,150.0261111,2015,1432,20086,36
5439,7348,61.44,64AK,150.0261111,2016,4695,66220,360
5440,7502,61.56055556,65AK,149.3686111,2000,4137,43011,55
5441,15502,61.56055556,65AK,149.3686111,2001,884,13230,99
5442,8502,61.56055556,65AK,149.3686111,2002,7380,34881,20
5443,502,61.56055556,65AK,149.3686111,2003,1422,13659,14
5444,1502,61.56055556,65AK,149.3686111,2004,5688,96030,33
5445,14502,61.56055556,65AK,149.3686111,2005,6,10248,700
5446,6502,61.56055556,65AK,149.3686111,2006,8730,83215,30
5447,4502,61.56055556,65AK,149.3686111,2007,1684,42750,585
5448,16502,61.56055556,65AK,149.3686111,2008,4830,10545,36
5449,9502,61.56055556,65AK,149.3686111,2009,3472,99000,91
5450,3502,61.56055556,65AK,149.3686111,2010,4750,28944,42
5451,11502,61.56055556,65AK,149.3686111,2011,714,55784,76
5452,12502,61.56055556,65AK,149.3686111,2012,4655,20808,172
5453,5502,61.56055556,65AK,149.3686111,2013,87,24684,230
5454,10502,61.56055556,65AK,149.3686111,2014,1662,59964,720
5455,13502,61.56055556,65AK,149.3686111,2015,1042,41749,351
5456,2502,61.56055556,65AK,149.3686111,2016,4460,42280,272
5457,2801,35.22638889,65AR,90.46527778,2000,987,66096,195
5458,15801,35.22638889,65AR,90.46527778,2001,804,26565,28
5459,8801,35.22638889,65AR,90.46527778,2002,198,12397,184
5460,3801,35.22638889,65AR,90.46527778,2003,1000,55767,14
5461,13801,35.22638889,65AR,90.46527778,2004,1251,44055,228
5462,1801,35.22638889,65AR,90.46527778,2005,362,23184,590
5463,4801,35.22638889,65AR,90.46527778,2006,2403,13175,38
5464,7801,35.22638889,65AR,90.46527778,2007,1206,23580,531
5465,16801,35.22638889,65AR,90.46527778,2008,2875,11381,160
5466,6801,35.22638889,65AR,90.46527778,2009,3756,71874,53
5467,10801,35.22638889,65AR,90.46527778,2010,1150,23436,427
5468,9801,35.22638889,65AR,90.46527778,2011,324,58672,90
5469,12801,35.22638889,65AR,90.46527778,2012,1050,8024,216
5470,5801,35.22638889,65AR,90.46527778,2013,714,12512,500
5471,801,35.22638889,65AR,90.46527778,2014,2682,25308,855
5472,14801,35.22638889,65AR,90.46527778,2015,832,50796,522
5473,11801,35.22638889,65AR,90.46527778,2016,470,33530,88
5474,9624,31.9725,67A,86.59166667,2000,4018,63747,210
5475,14624,31.9725,67A,86.59166667,2001,1886,13860,57
5476,2624,31.9725,67A,86.59166667,2002,8010,75075,276
5477,3624,31.9725,67A,86.59166667,2003,1792,66729,100
5478,4624,31.9725,67A,86.59166667,2004,2466,28710,111
5479,624,31.9725,67A,86.59166667,2005,1308,34104,130
5480,6624,31.9725,67A,86.59166667,2006,2673,28475,82
5481,12624,31.9725,67A,86.59166667,2007,694,40005,495
5482,7624,31.9725,67A,86.59166667,2008,150,10830,94
5483,16624,31.9725,67A,86.59166667,2009,172,46926,96
5484,10624,31.9725,67A,86.59166667,2010,830,11394,182
5485,1624,31.9725,67A,86.59166667,2011,1584,10868,48
5486,5624,31.9725,67A,86.59166667,2012,1645,24446,140
5487,11624,31.9725,67A,86.59166667,2013,847,33694,40
5488,15624,31.9725,67A,86.59166667,2014,663,63992,324
5489,8624,31.9725,67A,86.59166667,2015,390,21165,396
5490,13624,31.9725,67A,86.59166667,2016,3235,36610,184
5491,15512,61.53472222,67AK,149.67,2000,3059,60588,440
5492,14512,61.53472222,67AK,149.67,2001,224,11200,54
5493,2512,61.53472222,67AK,149.67,2002,6273,63756,184
5494,3512,61.53472222,67AK,149.67,2003,1356,76212,64
5495,12512,61.53472222,67AK,149.67,2004,7713,32175,81
5496,6512,61.53472222,67AK,149.67,2005,1610,18312,190
5497,10512,61.53472222,67AK,149.67,2006,1098,83895,27
5498,7512,61.53472222,67AK,149.67,2007,502,28665,306
5499,16512,61.53472222,67AK,149.67,2008,2410,8664,192
5500,4512,61.53472222,67AK,149.67,2009,3988,94545,72
5501,13512,61.53472222,67AK,149.67,2010,2780,33480,42
5502,8512,61.53472222,67AK,149.67,2011,1916,36632,29
5503,9512,61.53472222,67AK,149.67,2012,1325,9486,292
5504,1512,61.53472222,67AK,149.67,2013,551,12138,720
5505,512,61.53472222,67AK,149.67,2014,1926,54188,522
5506,11512,61.53472222,67AK,149.67,2015,684,74119,522
5507,5512,61.53472222,67AK,149.67,2016,2100,14070,440
5508,3811,36.09777778,67AR,94.3075,2000,5586,30618,275
5509,15811,36.09777778,67AR,94.3075,2001,1880,22400,56
5510,811,36.09777778,67AR,94.3075,2002,6633,75999,220
5511,12811,36.09777778,67AR,94.3075,2003,1830,69861,42
5512,6811,36.09777778,67AR,94.3075,2004,7830,49599,144
5513,8811,36.09777778,67AR,94.3075,2005,1426,63924,790
5514,16811,36.09777778,67AR,94.3075,2006,2844,75990,12
5515,7811,36.09777778,67AR,94.3075,2007,1824,22140,207
5516,1811,36.09777778,67AR,94.3075,2008,2905,3648,166
5517,11811,36.09777778,67AR,94.3075,2009,684,69003,67
5518,4811,36.09777778,67AR,94.3075,2010,9120,50328,301
5519,14811,36.09777778,67AR,94.3075,2011,1004,48944,99
5520,2811,36.09777778,67AR,94.3075,2012,4295,5882,260
5521,5811,36.09777778,67AR,94.3075,2013,866,25534,880
5522,9811,36.09777778,67AR,94.3075,2014,957,38000,513
5523,10811,36.09777778,67AR,94.3075,2015,1016,10375,630
5524,13811,36.09777778,67AR,94.3075,2016,260,50750,648
5525,12008,66.55194444,6A8,152.6222222,2000,6321,75330,285
5526,14008,66.55194444,6A8,152.6222222,2001,1584,11935,50
5527,10008,66.55194444,6A8,152.6222222,2002,5823,33418,188
5528,9008,66.55194444,6A8,152.6222222,2003,1632,36192,192
5529,8008,66.55194444,6A8,152.6222222,2004,6156,80190,192
5530,16008,66.55194444,6A8,152.6222222,2005,1044,69132,560
5531,4008,66.55194444,6A8,152.6222222,2006,8874,68680,63
5532,2008,66.55194444,6A8,152.6222222,2007,1048,8145,558
5533,8,66.55194444,6A8,152.6222222,2008,3160,14497,110
5534,15008,66.55194444,6A8,152.6222222,2009,2724,16929,57
5535,6008,66.55194444,6A8,152.6222222,2010,4720,10962,49
5536,13008,66.55194444,6A8,152.6222222,2011,1160,64904,39
5537,11008,66.55194444,6A8,152.6222222,2012,3710,24650,372
5538,7008,66.55194444,6A8,152.6222222,2013,595,10574,660
5539,1008,66.55194444,6A8,152.6222222,2014,1326,66120,621
5540,3008,66.55194444,6A8,152.6222222,2015,1956,79929,828
5541,5008,66.55194444,6A8,152.6222222,2016,3920,49420,256
5542,2369,62.08416667,6AK,152.7175,2000,5677,45360,300
5543,14369,62.08416667,6AK,152.7175,2001,408,31885,36
5544,369,62.08416667,6AK,152.7175,2002,7389,64064,128
5545,7369,62.08416667,6AK,152.7175,2003,1366,18705,8
5546,10369,62.08416667,6AK,152.7175,2004,2277,88209,228
5547,3369,62.08416667,6AK,152.7175,2005,1106,53340,650
5548,4369,62.08416667,6AK,152.7175,2006,4221,48790,24
5549,12369,62.08416667,6AK,152.7175,2007,134,43110,756
5550,8369,62.08416667,6AK,152.7175,2008,4835,17803,184
5551,16369,62.08416667,6AK,152.7175,2009,1260,97911,68
5552,1369,62.08416667,6AK,152.7175,2010,620,12204,126
5553,13369,62.08416667,6AK,152.7175,2011,840,34124,21
5554,6369,62.08416667,6AK,152.7175,2012,3470,32096,292
5555,5369,62.08416667,6AK,152.7175,2013,449,9724,630
5556,9369,62.08416667,6AK,152.7175,2014,2493,16644,576
5557,15369,62.08416667,6AK,152.7175,2015,1360,21414,792
5558,11369,62.08416667,6AK,152.7175,2016,2875,56630,424
5559,4345,58.91166667,6AK1,161.7138889,2000,3927,16443,155
5560,10345,58.91166667,6AK1,161.7138889,2001,1024,22015,96
5561,11345,58.91166667,6AK1,161.7138889,2002,2601,51513,328
5562,15345,58.91166667,6AK1,161.7138889,2003,328,41064,30
5563,8345,58.91166667,6AK1,161.7138889,2004,3069,65142,276
5564,12345,58.91166667,6AK1,161.7138889,2005,1024,45192,460
5565,14345,58.91166667,6AK1,161.7138889,2006,1836,67575,15
5566,6345,58.91166667,6AK1,161.7138889,2007,464,39510,135
5567,1345,58.91166667,6AK1,161.7138889,2008,2345,18981,78
5568,5345,58.91166667,6AK1,161.7138889,2009,2316,73062,20
5569,2345,58.91166667,6AK1,161.7138889,2010,8790,42660,567
5570,3345,58.91166667,6AK1,161.7138889,2011,390,70984,13
5571,7345,58.91166667,6AK1,161.7138889,2012,1605,9350,184
5572,16345,58.91166667,6AK1,161.7138889,2013,824,25398,760
5573,345,58.91166667,6AK1,161.7138889,2014,2793,46512,351
5574,9345,58.91166667,6AK1,161.7138889,2015,654,15853,504
5575,13345,58.91166667,6AK1,161.7138889,2016,2760,24990,184
5576,10353,61.25138889,6AK2,149.9822222,2000,5789,73224,225
5577,14353,61.25138889,6AK2,149.9822222,2001,620,8155,68
5578,9353,61.25138889,6AK2,149.9822222,2002,3339,38423,272
5579,6353,61.25138889,6AK2,149.9822222,2003,876,48633,110
5580,5353,61.25138889,6AK2,149.9822222,2004,1971,10593,24
5581,11353,61.25138889,6AK2,149.9822222,2005,374,40320,210
5582,8353,61.25138889,6AK2,149.9822222,2006,1053,50830,33
5583,4353,61.25138889,6AK2,149.9822222,2007,1216,8055,378
5584,13353,61.25138889,6AK2,149.9822222,2008,2960,8113,12
5585,2353,61.25138889,6AK2,149.9822222,2009,648,60885,36
5586,16353,61.25138889,6AK2,149.9822222,2010,6400,28998,567
5587,1353,61.25138889,6AK2,149.9822222,2011,584,58368,62
5588,12353,61.25138889,6AK2,149.9822222,2012,3185,15810,364
5589,7353,61.25138889,6AK2,149.9822222,2013,911,29070,220
5590,15353,61.25138889,6AK2,149.9822222,2014,1959,44308,351
5591,353,61.25138889,6AK2,149.9822222,2015,234,22576,513
5592,3353,61.25138889,6AK2,149.9822222,2016,1990,15120,8
5593,4215,60.72944444,6AK3,151.2780556,2000,385,68688,405
5594,7215,60.72944444,6AK3,151.2780556,2001,1462,31885,93
5595,16215,60.72944444,6AK3,151.2780556,2002,8559,41118,324
5596,9215,60.72944444,6AK3,151.2780556,2003,656,35061,152
5597,2215,60.72944444,6AK3,151.2780556,2004,3438,29106,267
5598,6215,60.72944444,6AK3,151.2780556,2005,234,10836,700
5599,1215,60.72944444,6AK3,151.2780556,2006,2151,12750,82
5600,5215,60.72944444,6AK3,151.2780556,2007,1282,27675,900
5601,11215,60.72944444,6AK3,151.2780556,2008,1090,8588,176
5602,3215,60.72944444,6AK3,151.2780556,2009,880,49797,73
5603,14215,60.72944444,6AK3,151.2780556,2010,8810,45684,21
5604,12215,60.72944444,6AK3,151.2780556,2011,1116,73036,66
5605,15215,60.72944444,6AK3,151.2780556,2012,3385,24038,376
5606,10215,60.72944444,6AK3,151.2780556,2013,540,9792,820
5607,13215,60.72944444,6AK3,151.2780556,2014,2526,23408,828
5608,8215,60.72944444,6AK3,151.2780556,2015,1936,15023,36
5609,215,60.72944444,6AK3,151.2780556,2016,2920,25060,784
5610,1017,61.16833333,6AK5,150.1605556,2000,3738,50301,160
5611,13017,61.16833333,6AK5,150.1605556,2001,1036,26915,9
5612,15017,61.16833333,6AK5,150.1605556,2002,873,18865,192
5613,7017,61.16833333,6AK5,150.1605556,2003,918,78561,98
5614,17,61.16833333,6AK5,150.1605556,2004,1458,69696,3
5615,3017,61.16833333,6AK5,150.1605556,2005,142,47208,330
5616,6017,61.16833333,6AK5,150.1605556,2006,8829,64430,79
5617,9017,61.16833333,6AK5,150.1605556,2007,492,37440,603
5618,16017,61.16833333,6AK5,150.1605556,2008,965,4199,130
5619,5017,61.16833333,6AK5,150.1605556,2009,772,24255,37
5620,8017,61.16833333,6AK5,150.1605556,2010,2990,19710,651
5621,11017,61.16833333,6AK5,150.1605556,2011,1488,12388,20
5622,14017,61.16833333,6AK5,150.1605556,2012,2075,13124,132
5623,10017,61.16833333,6AK5,150.1605556,2013,216,28934,220
5624,12017,61.16833333,6AK5,150.1605556,2014,1860,30324,252
5625,4017,61.16833333,6AK5,150.1605556,2015,1720,61503,216
5626,2017,61.16833333,6AK5,150.1605556,2016,2560,60690,624
5627,11508,61.57472222,6AK7,149.635,2000,5075,76302,165
5628,1508,61.57472222,6AK7,149.635,2001,1354,27405,45
5629,7508,61.57472222,6AK7,149.635,2002,6183,76153,144
5630,2508,61.57472222,6AK7,149.635,2003,154,58377,154
5631,8508,61.57472222,6AK7,149.635,2004,7902,17820,198
5632,15508,61.57472222,6AK7,149.635,2005,1182,63420,820
5633,16508,61.57472222,6AK7,149.635,2006,5832,50575,87
5634,3508,61.57472222,6AK7,149.635,2007,544,41805,630
5635,6508,61.57472222,6AK7,149.635,2008,1830,13186,50
5636,14508,61.57472222,6AK7,149.635,2009,1372,92862,6
5637,5508,61.57472222,6AK7,149.635,2010,3810,45522,490
5638,508,61.57472222,6AK7,149.635,2011,842,71440,11
5639,12508,61.57472222,6AK7,149.635,2012,55,4012,200
5640,10508,61.57472222,6AK7,149.635,2013,490,15980,920
5641,4508,61.57472222,6AK7,149.635,2014,720,74024,594
5642,13508,61.57472222,6AK7,149.635,2015,332,41583,792
5643,9508,61.57472222,6AK7,149.635,2016,1260,63350,400
5644,16518,61.61805556,6AK8,149.6691667,2000,5299,61479,335
5645,4518,61.61805556,6AK8,149.6691667,2001,1836,33215,77
5646,14518,61.61805556,6AK8,149.6691667,2002,4356,19789,176
5647,11518,61.61805556,6AK8,149.6691667,2003,496,26013,66
5648,518,61.61805556,6AK8,149.6691667,2004,2196,31680,9
5649,5518,61.61805556,6AK8,149.6691667,2005,478,66108,270
5650,15518,61.61805556,6AK8,149.6691667,2006,7722,25670,56
5651,12518,61.61805556,6AK8,149.6691667,2007,1026,41355,225
5652,3518,61.61805556,6AK8,149.6691667,2008,4125,13205,200
5653,7518,61.61805556,6AK8,149.6691667,2009,356,92763,93
5654,13518,61.61805556,6AK8,149.6691667,2010,5420,32022,637
5655,6518,61.61805556,6AK8,149.6691667,2011,584,36784,31
5656,9518,61.61805556,6AK8,149.6691667,2012,4865,28424,300
5657,10518,61.61805556,6AK8,149.6691667,2013,405,17136,850
5658,1518,61.61805556,6AK8,149.6691667,2014,2535,54796,414
5659,2518,61.61805556,6AK8,149.6691667,2015,1352,45318,315
5660,8518,61.61805556,6AK8,149.6691667,2016,2750,30940,120
5661,13485,61.63333333,6AK9,149.6825,2000,1337,66744,280
5662,11485,61.63333333,6AK9,149.6825,2001,1122,9450,1
5663,4485,61.63333333,6AK9,149.6825,2002,6435,71764,200
5664,15485,61.63333333,6AK9,149.6825,2003,1558,79083,184
5665,485,61.63333333,6AK9,149.6825,2004,954,30591,222
5666,16485,61.63333333,6AK9,149.6825,2005,512,51072,590
5667,5485,61.63333333,6AK9,149.6825,2006,5103,22695,41
5668,3485,61.63333333,6AK9,149.6825,2007,1526,22680,18
5669,14485,61.63333333,6AK9,149.6825,2008,640,18848,70
5670,2485,61.63333333,6AK9,149.6825,2009,492,77913,27
5671,10485,61.63333333,6AK9,149.6825,2010,3790,30132,280
5672,8485,61.63333333,6AK9,149.6825,2011,1222,57304,64
5673,7485,61.63333333,6AK9,149.6825,2012,2850,19856,232
5674,12485,61.63333333,6AK9,149.6825,2013,365,7922,1000
5675,6485,61.63333333,6AK9,149.6825,2014,2310,70832,432
5676,9485,61.63333333,6AK9,149.6825,2015,1080,37184,126
5677,1485,61.63333333,6AK9,149.6825,2016,4705,35350,320
5678,6648,34.58194444,6AL3,85.75555556,2000,6874,75411,280
5679,3648,34.58194444,6AL3,85.75555556,2001,1220,6545,12
5680,2648,34.58194444,6AL3,85.75555556,2002,8802,17556,308
5681,8648,34.58194444,6AL3,85.75555556,2003,1972,53505,78
